StartDate;EndDate;Status;IPAddress;Progress;Duration (in seconds);Finished;RecordedDate;ResponseId;RecipientLastName;RecipientFirstName;RecipientEmail;ExternalReference;LocationLatitude;LocationLongitude;DistributionChannel;UserLanguage;Q1;Q2;Q3;Q4;Q5;Q6;Q7;Q8_1;Q8_2;Q8_3;Q8_4;Q8_5;Q9;Q10_1;Q10_2;Q10_3;Q10_4;Q10_5;Q11_1;Q11_2;Q12_1;Q12_2;Q12_3;Q12_4;Q12_5;Q12_6;Q12_7;Q12_8;Q13_1;Q13_2;Q13_3;Q14;Q15;Q16;Q16_1_TEXT;Q17_1;Q17_2;Q17_3;2.1_1;2.1_2;2.1_3;2.1_4;2.1_5;2.1_6;2.1_7;2.2;2.2 _1_TEXT;2.3;2.4; 
2024-11-27 16:50:57;2024-11-27 16:55:53;IP Address;81.185.167.78;100;295;True;2024-11-27 16:55:53;R_21bR2sjjCwr03HG;;;;;45.748;4.85;anonymous;FR;18-25 ans;Femme;Algérienne;France;Université (Licence);Oui;Oui;Français;Anglais;Arabe;Allemand;plusieurs dialectes arabes;Langue 3;avant 3ans;4ans-18ans;avant 3ans;4ans-18ans;4ans-18ans;Langue 1,Langue 2,Langue 3,Langue 4;Langue 3;Langue 3;Langue 1;Langue 1;Langue 1;Langue 1;Langue 1;Langue 1;Langue 1;Souvent				;Souvent				;Très souvent				;À la maison,Au travail ou à l'école,Avec des amis;Par habitude,Parce que certains mots ou expressions sont plus faciles dans une autre langue;Non;;oui;non;oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Non;;Plutôt confortable;Bonne;
2024-11-27 16:52:35;2024-11-27 16:56:35;IP Address;92.92.129.7;100;240;True;2024-11-27 16:56:36;R_8dQzJjAszn4vShX;;;;;48.9043;2.4877;anonymous;FR;18-25 ans;Homme;Algérienne;France;Université (Licence);Oui;Oui;Français;Arabe;Anglais;Dialecte algérien;;Langue 4;avant 3ans;avant 3ans;4ans-18ans;avant 3ans;;Langue 1,Langue 4;;Langue 4;Langue 4;Langue 1;Langue 1;Langue 1;Langue 1;Langue 4;Langue 1;Souvent				;Très souvent				;Parfois				;À la maison,Avec des amis,Sur les réseaux sociaux;Pour mieux exprimer une idée,Par habitude,Pour être compris,Parce que certains mots ou expressions sont plus faciles dans une autre langue;Oui (donnez un exemple);;oui;non;oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Oui (Veuillez fournir des exemples);;Plutôt confortable;Bonne;
2024-11-27 16:52:29;2024-11-27 16:56:51;IP Address;78.243.159.54;100;261;True;2024-11-27 16:56:51;R_8fDwi5ZA9BTohce;;;;;48.8582;2.3387;anonymous;FR;18-25 ans;Femme;Algérienne;France;Université (Licence);Oui;Oui;Dialecte algérien;Français;Anglais;Arabe;;Langue 1;avant 3ans;avant 3ans;4ans-18ans;4ans-18ans;;Langue 1,Langue 2;Langue 1,Langue 2;Langue 2;Langue 2;Langue 2;Langue 2;Langue 2;Langue 2;Langue 3;Langue 2;Très souvent				;Très souvent				;Très souvent				;À la maison,Avec des amis,Sur les réseaux sociaux;Pour mieux exprimer une idée,Par habitude,Parce que certains mots ou expressions sont plus faciles dans une autre langue;Oui (donnez un exemple);MAIN SUPPORTER ;oui;non;oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;;;Plutôt confortable;Excellente;
2024-11-27 16:52:09;2024-11-27 17:00:02;IP Address;154.121.84.106;100;473;True;2024-11-27 17:00:03;R_8uZNNKBhaTY7x3f;;;;;36.7642;3.1468;anonymous;FR;18-25 ans;Homme;Algérienne;Algérie;Université (Licence);Oui;Oui;Arabe;Français;Anglais;Dialecte algérien;Espagnol;Langue 1;avant 3ans;avant 3ans;4ans-18ans;avant 3ans;18ans-25ans;Langue 2,Langue 4;;Langue 2;Langue 2;Langue 4;Langue 2;Langue 2;Langue 2;Langue 2;Langue 2;Très souvent				;Souvent				;Rarement				;À la maison,Avec des amis,Lors des achats ou au marché;Pour mieux exprimer une idée,Pour être compris,Parce que certains mots ou expressions sont plus faciles dans une autre langue;Non;;oui;non;oui;Non;Oui;Oui;Oui;Oui;Oui;Oui;Non;;Ni confortable, ni inconfortable;Bonne;
2024-11-27 16:59:05;2024-11-27 17:06:30;IP Address;105.100.241.80;100;445;True;2024-11-27 17:06:31;R_11MmaYFgrghwHS2;;;;;36.7405;3.1159;anonymous;FR;Moins de 18 ans;Femme;Algérienne;Algérie;Lycée;Oui;Oui;Arabe;Anglais;Français;Dialecte algérien;;Langue 1;4ans-18ans;18ans-25ans;avant 3ans;4ans-18ans;;Langue 3;Langue 3;Langue 3;Langue 3;Langue 1;Langue 1;Langue 3;Langue 3;Langue 3;Langue 3;Souvent				;Souvent				;Rarement				;Avec des amis;Pour mieux exprimer une idée,Pour être compris,Pour montrer une certaine identité culturelle,Parce que certains mots ou expressions sont plus faciles dans une autre langue;Non;;oui;non;oui;Oui;Oui;Oui;Oui;Oui;Non;Oui;Non;;Plutôt confortable;Bonne;
2024-11-27 17:03:12;2024-11-27 17:12:07;IP Address;105.99.154.24;100;535;True;2024-11-27 17:12:08;R_2HnfaOhS77c6ls5;;;;;36.7377;3.0839;anonymous;FR;Moins de 18 ans;Femme;Algérienne;Algérie;Lycée;Oui;Oui;Français;Anglais;Dialecte algérien;;;Langue 3;avant 3ans;4ans-18ans;avant 3ans;;;Langue 1,Langue 3;;Langue 1;Langue 1;Langue 3;Langue 3;Langue 1;Langue 1;Langue 1;Langue 1;Très souvent				;Très souvent				;Parfois				;Au travail ou à l'école,Avec des amis,Sur les réseaux sociaux;Pour mieux exprimer une idée,Parce que certains mots ou expressions sont plus faciles dans une autre langue;Oui (donnez un exemple);look ;oui;non;oui;Oui;Oui;Oui;Oui;Non;Oui;Oui;Non;;Plutôt confortable;Bonne;Super questionnaire !
2024-11-27 17:14:40;2024-11-27 17:20:02;IP Address;87.231.51.189;100;322;True;2024-11-27 17:20:03;R_833DnMzsRpUL4zP;;;;;49.4199;2.823;anonymous;FR;18-25 ans;Femme;Française;France;Université (Licence);Oui;Oui;Français;Anglais;Arabe;Dialecte algérien;;Langue 1;avant 3ans;4ans-18ans;avant 3ans;avant 3ans;;Langue 1,Langue 4;Langue 1,Langue 4;Langue 1;Langue 1;Langue 1;Langue 1;Langue 1;Langue 1;Langue 1;Langue 1;Très souvent				;Souvent				;Souvent				;À la maison;Pour mieux exprimer une idée,Par habitude,Parce que certains mots ou expressions sont plus faciles dans une autre langue;Oui (donnez un exemple);;oui;non;oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Oui (Veuillez fournir des exemples);;Plutôt inconfortable;Moyenne;
2024-11-27 17:16:58;2024-11-27 17:22:24;IP Address;31.4.207.83;100;325;True;2024-11-27 17:22:25;R_8rhW9w9VC8rQVJQ;;;;;39.5661;2.6487;anonymous;FR;Moins de 18 ans;Femme;Algérienne;Espagne ;Lycée;Oui;Oui;Arabe;Français;Anglais;Espagnol;Catalan ;Langue 1;avant 3ans;avant 3ans;;4ans-18ans;4ans-18ans;Langue 1,Langue 2;Langue 1,Langue 2;Langue 1;Langue 2;Langue 4;Langue 4;Langue 2;Langue 2;Langue 2;Langue 2;Très souvent				;Très souvent				;Très souvent				;À la maison,Au travail ou à l'école,Avec des amis,Sur les réseaux sociaux;Pour mieux exprimer une idée,Par habitude,Parce que certains mots ou expressions sont plus faciles dans une autre langue;Oui (donnez un exemple);;oui;oui;oui;Oui;Oui;Oui;Oui;Non;Oui;Oui;Oui (Veuillez fournir des exemples);;Plutôt confortable;Bonne;
2024-11-27 17:18:48;2024-11-27 17:24:27;IP Address;149.40.62.10;100;338;True;2024-11-27 17:24:28;R_5SB6ReyQ15bt1qk;;;;;47.6034;-122.3414;anonymous;FR;18-25 ans;Homme;American;États-Unis;Université (Licence);Oui;Oui;Anglais;Persian;Espagnol;Japonais;;Langue 1;avant 3ans;avant 3ans;4ans-18ans;18ans-25ans;;Langue 2;Langue 1,Langue 2;Langue 2;Langue 1;Langue 1;Langue 1;Langue 1;Langue 1;Langue 1;Langue 1;Parfois				;Souvent				;Souvent				;À la maison;Pour mieux exprimer une idée,Pour être compris,Parce que certains mots ou expressions sont plus faciles dans une autre langue;Oui (donnez un exemple);It’s complicated so I don’t want to explain lol;;;;;;;;;;;;;;;
2024-11-27 17:21:36;2024-11-27 17:29:37;IP Address;105.100.108.117;100;481;True;2024-11-27 17:29:38;R_2RsvVH8dCTxPdlI;;;;;36.7405;3.1159;anonymous;FR;Moins de 18 ans;Femme;Algérienne;Algérie;Lycée;Oui;Oui;Français;Arabe;Dialecte algérien;Anglais;Kabyle;;avant 3ans;4ans-18ans;avant 3ans;4ans-18ans;4ans-18ans;Langue 1,Langue 3;Langue 1,Langue 3;Langue 1;Langue 3;Langue 3;Langue 3;Langue 1;Langue 1;Langue 1;Langue 1;Très souvent				;Très souvent				;Parfois				;À la maison,Au travail ou à l'école,Avec des amis,Lors des activités administratives,Sur les réseaux sociaux,Lors des achats ou au marché;Pour mieux exprimer une idée,Par habitude;Oui (donnez un exemple);Chghol, « acho » يعني، by the way ;oui;oui;oui;Non;Oui;Oui;Oui;Oui;Oui;Oui;Oui (Veuillez fournir des exemples);Verbes d’états principalement en Arabe;Extrêmement confortable;Bonne;
2024-11-27 17:25:33;2024-11-27 17:30:31;IP Address;37.170.7.37;100;298;True;2024-11-27 17:30:33;R_2rIUMbwLJGVUzdB;;;;;48.8582;2.3387;anonymous;FR;18-25 ans;Femme;Française;France;Université (Licence);Oui;Non;Français;Anglais;Allemand;;;Langue 1;avant 3ans;4ans-18ans;4ans-18ans;;;Langue 1;Langue 1;Langue 1;Langue 1;Langue 1;Langue 1;Langue 1;Langue 1;Langue 2;Langue 1;Souvent				;Parfois				;Parfois				;Au travail ou à l'école,Avec des amis,Sur les réseaux sociaux;Pour mieux exprimer une idée,Parce que certains mots ou expressions sont plus faciles dans une autre langue;Oui (donnez un exemple);;oui;non;non;;;;;;;;;;;;
2024-11-27 17:20:28;2024-11-27 17:32:01;IP Address;154.121.111.109;100;693;True;2024-11-27 17:32:02;R_8Dw2NiqflDQgLYX;;;;;36.7405;3.1159;anonymous;FR;Plus de 55 ans;Homme;Algérienne;Algérie;Université (Licence);Oui;Oui;Français;Arabe;Anglais;Russe;Kabyle;Langue 5;4ans-18ans;4ans-18ans;18ans-25ans;18ans-25ans;avant 3ans;Langue 5;Langue 5;Langue 1;Langue 2;Langue 2;Langue 1;Langue 1;Langue 1;Langue 1;Langue 5;Souvent				;Très souvent				;Souvent				;Au travail ou à l'école,Avec des amis;Pour être compris;Non;;;non;non;Non;Oui;Non;Non;Non;Non;Oui;Non;;Plutôt confortable;Bonne;
2024-11-27 17:25:02;2024-11-27 17:33:42;IP Address;80.214.210.102;100;520;True;2024-11-27 17:33:43;R_2oLx3FZ3a4rDd1E;;;;;45.748;4.85;anonymous;FR;18-25 ans;Femme;Algérienne;France;Université (Licence);Oui;Oui;Français;Arabe;Anglais;Allemand;Dialecte algérien;Langue 1;avant 3ans;4ans-18ans;4ans-18ans;18ans-25ans;avant 3ans;Langue 1,Langue 5;Langue 1,Langue 5;Langue 5;Langue 1;Langue 1;Langue 1;Langue 1;Langue 1;Langue 1;Langue 1;Très souvent				;Très souvent				;Très souvent				;À la maison,Au travail ou à l'école,Avec des amis,Sur les réseaux sociaux;Pour mieux exprimer une idée,Par habitude,Parce que certains mots ou expressions sont plus faciles dans une autre langue;Oui (donnez un exemple);Switch;oui;oui;oui;Oui;Oui;Oui;Oui;Non;Oui;Oui;Oui (Veuillez fournir des exemples);« Cousina »;Ni confortable, ni inconfortable;Excellente;
2024-11-27 17:36:50;2024-11-27 17:40:52;IP Address;193.248.151.136;100;241;True;2024-11-27 17:40:53;R_8kZJ1yrSLzrA1wg;;;;;48.1119;-1.48;anonymous;FR;18-25 ans;Femme;Algérienne;France;Université (Licence);Oui;Oui;Dialecte algérien;Français;Arabe;Anglais;;;avant 3ans;avant 3ans;avant 3ans;4ans-18ans;;Langue 1;Langue 1,Langue 2;Langue 1;Langue 2;Langue 2;Langue 2;Langue 2;Langue 2;Langue 1;Langue 2;Souvent				;Souvent				;Très souvent				;À la maison,Avec des amis,Sur les réseaux sociaux;Pour mieux exprimer une idée,Par habitude,Parce que certains mots ou expressions sont plus faciles dans une autre langue;Oui (donnez un exemple);Anyway , by the way ;oui;non;oui;Oui;Oui;Oui;Non;Non;Oui;Oui;;;Ni confortable, ni inconfortable;Moyenne;Courage Pour le projet 
2024-11-27 17:43:34;2024-11-27 17:45:05;IP Address;77.136.66.200;100;90;True;2024-11-27 17:45:05;R_2CH9oFvxDGGMFjA;;;;;48.8323;2.4075;anonymous;FR;18-25 ans;Femme;Française;France;Université (Licence);Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
